TEAM,CONF,POSTSEASON,G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,YEAR,R64,R32,S16,E8,F4,C2,Champions,games_won
Stephen F. Austin,Slnd,R32,33,30,0.9090909090909091,112.0,101.6,0.7527,52.3,50.5,16.9,23.6,38.2,28.9,39.9,50.7,52.3,50.0,34.9,34.7,63.5,1.7,12,0,2014,1,1,0,0,0,0,0,2
Tulsa,CUSA,R64,34,21,0.6176470588235294,105.6,95.8,0.7537,49.2,46.4,16.7,20.3,30.2,29.6,47.1,47.5,49.2,43.2,32.7,35.2,68.4,-3.6,13,0,2014,1,0,0,0,0,0,0,1
Western Michigan,MAC,R64,32,22,0.6875,104.7,102.5,0.5605,52.0,47.6,20.9,18.5,31.0,32.0,51.4,34.7,53.7,47.8,32.6,31.5,67.0,-2.9,14,0,2014,1,0,0,0,0,0,0,1
Eastern Kentucky,OVC,R64,32,22,0.6875,112.1,107.5,0.6177,56.7,55.7,15.8,24.2,23.0,34.0,43.2,54.9,55.7,56.7,38.6,35.8,66.0,-3.3,15,0,2014,1,0,0,0,0,0,0,1
Albany,AE,R64,34,19,0.5588235294117647,102.8,103.1,0.49,48.8,48.3,19.7,18.3,31.9,28.4,42.0,29.1,47.0,46.0,36.0,34.9,63.2,-8.6,16,0,2014,1,0,0,0,0,0,0,1
Wichita St.,MVC,R32,35,34,0.9714285714285714,116.4,93.0,0.9295,52.4,44.7,16.2,18.2,35.0,26.2,46.9,35.7,52.3,43.6,35.0,31.1,65.1,8.1,1,0,2014,1,1,0,0,0,0,0,2
Michigan,B10,E8,37,28,0.7567567567567568,125.0,99.9,0.9295,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,62.6,7.7,2,1,2014,1,1,1,1,0,0,0,4
Duke,ACC,R64,35,26,0.7428571428571429,125.9,98.6,0.9432,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,50.3,50.3,39.5,30.7,66.7,6.5,3,1,2014,1,0,0,0,0,0,0,1
Louisville,Amer,S16,37,31,0.8378378378378378,118.8,87.6,0.971,53.5,43.9,15.3,25.0,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,68.8,5.3,4,0,2014,1,1,1,0,0,0,0,3
Saint Louis,A10,R32,33,26,0.7878787878787878,104.9,90.4,0.8477,49.6,44.4,18.6,21.0,28.8,29.0,40.3,35.6,50.5,44.4,31.7,29.6,67.5,3.8,5,0,2014,1,1,0,0,0,0,0,2
